Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;130s,;889,;6.838,;0%,;1.667ms;

;13;
50.0%;39.844ms.;
90.0%;99.486ms.;
95.0%;116.377ms.;
99.0%;188.551ms.;
99.9%;706.558ms.;
99.99%;706.558ms.;
