Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;130s,;829,;6.377,;0%,;1.494ms;

;13;
50.0%;58.52ms.;
90.0%;121.531ms.;
95.0%;140.61ms.;
99.0%;274.028ms.;
99.9%;704.654ms.;
99.99%;704.654ms.;
