Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;159,;0.53,;0%,;1.489ms;
2,;300s,;274,;0.913,;0%,;1.502ms;
3,;300s,;336,;1.12,;0%,;1.416ms;
4,;300s,;351,;1.17,;0%,;1.107ms;
5,;300s,;341,;1.137,;0.293%,;1.892ms;

;1;2;3;4;5;
50.0%;10.222ms.;9.343ms.;93.224ms.;97.26ms.;99.835ms.;
90.0%;87.793ms.;98.168ms.;102.544ms.;196.581ms.;291.125ms.;
95.0%;92.19ms.;100.79ms.;188.04ms.;200.893ms.;298.252ms.;
99.0%;221.786ms.;195.227ms.;260.877ms.;303.273ms.;504.483ms.;
99.9%;277.235ms.;298.014ms.;301.452ms.;395.626ms.;1000.786ms.;
99.99%;277.235ms.;298.014ms.;301.452ms.;395.626ms.;1000.786ms.;
