Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;130s,;878,;6.754,;0%,;2.12ms;

;13;
50.0%;52.786ms.;
90.0%;112.364ms.;
95.0%;146.456ms.;
99.0%;269.267ms.;
99.9%;540.647ms.;
99.99%;540.647ms.;
