Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;1445s,;9192,;6.361,;0%,;3.282ms;

;13;
50.0%;47.616ms.;
90.0%;118.491ms.;
95.0%;164.519ms.;
99.0%;284.998ms.;
99.9%;595.475ms.;
99.99%;846.272ms.;
