Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;263,;0.877,;0%,;1.165ms;
2,;300s,;506,;1.687,;0%,;1.111ms;
3,;300s,;764,;2.547,;0%,;1.212ms;
4,;300s,;1012,;3.373,;0%,;1.556ms;
5,;300s,;1200,;4,;0%,;9.081ms;
6,;300s,;1386,;4.62,;0%,;2.24ms;
7,;300s,;1469,;4.897,;0%,;1.66ms;
8,;300s,;1503,;5.01,;0%,;1.334ms;
9,;300s,;1527,;5.09,;0%,;1.801ms;
10,;300s,;1677,;5.59,;0%,;1.822ms;
11,;300s,;1666,;5.553,;0%,;1.462ms;
12,;300s,;1729,;5.763,;0%,;1.136ms;
13,;300s,;1759,;5.863,;0%,;1.425ms;
14,;300s,;1780,;5.933,;0%,;1.697ms;
15,;300s,;1875,;6.25,;0%,;1.337ms;
16,;300s,;1845,;6.15,;0%,;1.956ms;
17,;300s,;1979,;6.597,;0%,;1.214ms;
18,;300s,;2145,;7.15,;0%,;1.267ms;
19,;300s,;2228,;7.427,;0%,;1.569ms;
20,;300s,;2000,;6.667,;0%,;1.412ms;
25,;300s,;2080,;6.933,;0%,;1.272ms;
30,;300s,;2165,;7.217,;0%,;1.18ms;
35,;300s,;2243,;7.477,;0%,;1.059ms;
40,;300s,;2368,;7.893,;0%,;1.329ms;
45,;300s,;2437,;8.123,;0%,;1.179ms;
50,;300s,;2501,;8.337,;0%,;0.897ms;
55,;300s,;2481,;8.27,;0%,;1.703ms;
60,;300s,;2464,;8.213,;0%,;1.331ms;
65,;300s,;2608,;8.693,;1.534%,;0.843ms;
70,;300s,;2732,;9.107,;8.529%,;1.33ms;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;25;30;35;40;45;50;55;60;65;70;
50.0%;6.753ms.;6.113ms.;5.843ms.;5.492ms.;5.276ms.;6.106ms.;7.05ms.;18.142ms.;23.332ms.;22.618ms.;39.631ms.;40.251ms.;66.575ms.;74.33ms.;69.943ms.;69.638ms.;73.508ms.;75.975ms.;82.477ms.;86.716ms.;102.32ms.;115.534ms.;120.516ms.;134.135ms.;152.32ms.;139.188ms.;157.994ms.;163.8ms.;160.366ms.;155.446ms.;
90.0%;10.33ms.;12.191ms.;10.983ms.;9.701ms.;12.765ms.;34.532ms.;50.749ms.;72.397ms.;79.574ms.;86.746ms.;91.76ms.;97.731ms.;109.754ms.;121.597ms.;114.01ms.;126.599ms.;120.52ms.;111.049ms.;134.437ms.;149.656ms.;186.373ms.;201ms.;212.024ms.;211.179ms.;233.21ms.;213.469ms.;257.163ms.;252.812ms.;252.54ms.;259.418ms.;
95.0%;12.604ms.;26.507ms.;18.523ms.;17.858ms.;41.718ms.;50.254ms.;59.221ms.;83.483ms.;90.41ms.;99.218ms.;100.733ms.;106.529ms.;127.589ms.;154.5ms.;152.627ms.;167.567ms.;164.536ms.;129.811ms.;167.381ms.;171.947ms.;215.875ms.;227.462ms.;243.779ms.;235.262ms.;269.771ms.;245.643ms.;296.269ms.;287.243ms.;304.308ms.;309.288ms.;
99.0%;24.878ms.;47.862ms.;46.723ms.;47.651ms.;53.8ms.;82.805ms.;112.624ms.;126.209ms.;156.512ms.;158.994ms.;156.336ms.;158.385ms.;176.615ms.;288.904ms.;249.424ms.;200.908ms.;335.523ms.;262.456ms.;274.878ms.;254.291ms.;613.425ms.;960.368ms.;1272.972ms.;1173.516ms.;2280.87ms.;1794.631ms.;3063.647ms.;2499.666ms.;3637.99ms.;3789.719ms.;
99.9%;36.093ms.;63.03ms.;55.007ms.;78.796ms.;184.263ms.;164.804ms.;292.546ms.;282.682ms.;421.699ms.;379.364ms.;391.617ms.;481.684ms.;477.333ms.;604.381ms.;834.748ms.;591.152ms.;1090.385ms.;1072.66ms.;1089.81ms.;1498.005ms.;1852.541ms.;2537.093ms.;3294.862ms.;3448.638ms.;4229.323ms.;4510.662ms.;5169.396ms.;5555.712ms.;6019.33ms.;5701.744ms.;
99.99%;36.093ms.;63.03ms.;55.007ms.;78.946ms.;191.495ms.;204.51ms.;301.209ms.;303.651ms.;445.728ms.;388.706ms.;413.268ms.;603.715ms.;499.8ms.;727.64ms.;908.358ms.;845.257ms.;1410.759ms.;1168.318ms.;1110.79ms.;1535.896ms.;2108.992ms.;3048.884ms.;3572.683ms.;3587.827ms.;4319.691ms.;4637.122ms.;5224.302ms.;5718.365ms.;6441.259ms.;5915.536ms.;
