Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
8,;360s,;1785,;4.958,;0%,;2.799ms;

;8;
50.0%;24.585ms.;
90.0%;77.054ms.;
95.0%;90.619ms.;
99.0%;127.138ms.;
99.9%;324.812ms.;
99.99%;343.753ms.;
