Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;248,;0.827,;0%,;1.741ms;
2,;300s,;443,;1.477,;0%,;1.123ms;
3,;300s,;705,;2.35,;0%,;2.379ms;
4,;300s,;893,;2.977,;0%,;1.669ms;
5,;300s,;1123,;3.743,;0%,;1.984ms;
6,;300s,;1087,;3.623,;0%,;1.941ms;
7,;300s,;1020,;3.4,;0%,;1.309ms;
8,;300s,;968,;3.227,;0%,;1.702ms;
9,;300s,;1035,;3.45,;0%,;1.383ms;
10,;300s,;1063,;3.543,;0%,;2.15ms;
11,;300s,;1122,;3.74,;0%,;1.678ms;
12,;300s,;1128,;3.76,;0%,;1.781ms;
13,;300s,;1131,;3.77,;0%,;2.508ms;
14,;300s,;1146,;3.82,;0%,;2.064ms;
15,;300s,;1185,;3.95,;0%,;1.832ms;
17,;300s,;1140,;3.8,;0%,;1.362ms;
19,;300s,;1179,;3.93,;0%,;1.994ms;
21,;300s,;1176,;3.92,;0%,;1.861ms;
23,;300s,;1198,;3.993,;0%,;1.566ms;
25,;300s,;1225,;4.083,;0%,;1.096ms;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;19;21;23;25;
50.0%;7.741ms.;6.793ms.;6.49ms.;6.178ms.;6.076ms.;6.281ms.;15.436ms.;79.51ms.;83.565ms.;80.42ms.;94.77ms.;86.636ms.;102.269ms.;112.006ms.;119.488ms.;133.972ms.;203.186ms.;214.32ms.;205.782ms.;204.067ms.;
90.0%;15.007ms.;41.774ms.;28.391ms.;33.302ms.;38.322ms.;74.493ms.;94.15ms.;110.47ms.;163.145ms.;114.296ms.;190.03ms.;171.462ms.;209.406ms.;199.233ms.;217.987ms.;279.537ms.;319.375ms.;387.819ms.;386.793ms.;324.03ms.;
95.0%;28.407ms.;67.91ms.;60.347ms.;68.175ms.;70.431ms.;82.622ms.;106.722ms.;160.762ms.;183.293ms.;171.623ms.;200.97ms.;187.103ms.;274.487ms.;210.075ms.;286.386ms.;293.513ms.;389.051ms.;404.141ms.;399.487ms.;400.648ms.;
99.0%;46.142ms.;76.138ms.;76.318ms.;77.724ms.;80.351ms.;91.936ms.;464.521ms.;195.266ms.;264.159ms.;194.256ms.;490.291ms.;217.94ms.;300.02ms.;280.29ms.;394.717ms.;361.952ms.;510.728ms.;530.43ms.;610.707ms.;501.783ms.;
99.9%;63.124ms.;90.995ms.;95.249ms.;91.649ms.;95.448ms.;127.333ms.;686.312ms.;596.939ms.;802.968ms.;682.855ms.;1017.248ms.;931.433ms.;2085.087ms.;677.346ms.;1270.327ms.;980.817ms.;2620.274ms.;2862.556ms.;3159.945ms.;3267.92ms.;
99.99%;63.124ms.;90.995ms.;95.249ms.;91.649ms.;95.841ms.;129.792ms.;686.611ms.;596.939ms.;807.129ms.;696.61ms.;1018.581ms.;996.46ms.;2278.698ms.;712.668ms.;1394.874ms.;1024.053ms.;2621.649ms.;3178.675ms.;3276.793ms.;3289.217ms.;
