Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;264,;0.88,;0%,;1.21ms;
2,;300s,;516,;1.72,;0%,;0.905ms;
3,;300s,;769,;2.563,;0%,;1.534ms;
4,;300s,;1028,;3.427,;0%,;1.681ms;
5,;300s,;1270,;4.233,;0%,;1.168ms;
6,;300s,;1240,;4.133,;0%,;1.192ms;
7,;300s,;1417,;4.723,;0%,;1.498ms;
8,;300s,;1528,;5.093,;0%,;1.515ms;
9,;300s,;1772,;5.907,;0%,;1.493ms;
10,;300s,;1745,;5.817,;0%,;1.539ms;
11,;300s,;2043,;6.81,;0%,;1.81ms;
12,;300s,;1933,;6.443,;0%,;1.023ms;
13,;300s,;1983,;6.61,;0%,;1.252ms;
14,;300s,;2061,;6.87,;0%,;1.274ms;
15,;300s,;2171,;7.237,;0%,;1.882ms;
16,;300s,;2165,;7.217,;0%,;1.401ms;
17,;300s,;2238,;7.46,;0%,;1.657ms;
18,;300s,;2348,;7.827,;0%,;2.372ms;
19,;300s,;2341,;7.803,;0%,;1.653ms;
20,;300s,;2384,;7.947,;0%,;2.677ms;
25,;300s,;2451,;8.17,;0%,;1.569ms;
30,;300s,;2613,;8.71,;0%,;2.047ms;
35,;300s,;2593,;8.643,;0%,;1.477ms;
40,;300s,;2806,;9.353,;0%,;1.838ms;
45,;300s,;2799,;9.33,;0%,;1.703ms;
50,;300s,;2906,;9.687,;0%,;1.231ms;
55,;300s,;2975,;9.917,;0%,;1.527ms;
60,;300s,;3062,;10.207,;0%,;2.857ms;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;25;30;35;40;45;50;55;60;
50.0%;6.714ms.;5.519ms.;5.33ms.;4.93ms.;4.872ms.;7.766ms.;9.723ms.;16.492ms.;10.644ms.;17.608ms.;13.822ms.;26.244ms.;34.44ms.;38.059ms.;69.018ms.;51.376ms.;61.875ms.;63.89ms.;72.683ms.;75.299ms.;91.654ms.;91.785ms.;110.147ms.;114.42ms.;119.777ms.;124.033ms.;135.111ms.;126.007ms.;
90.0%;9.969ms.;9.393ms.;9.072ms.;7.743ms.;10.363ms.;57.109ms.;62.836ms.;69.956ms.;70.462ms.;72.597ms.;81.013ms.;86.587ms.;93.518ms.;91.412ms.;103.897ms.;98.798ms.;105.49ms.;101.241ms.;110.095ms.;114.073ms.;164.794ms.;160.851ms.;200.1ms.;186.94ms.;198.339ms.;194.804ms.;208.86ms.;200.112ms.;
95.0%;11.774ms.;13.945ms.;17.927ms.;13.135ms.;35.911ms.;65.798ms.;70.41ms.;75.112ms.;79.393ms.;80.394ms.;91.06ms.;95.363ms.;100.669ms.;96.71ms.;114.239ms.;108.663ms.;119.977ms.;108.722ms.;154.05ms.;150.095ms.;186.429ms.;184.222ms.;223.871ms.;204.342ms.;223.944ms.;215.458ms.;241.118ms.;223.563ms.;
99.0%;16.373ms.;45.765ms.;51.503ms.;49.193ms.;53.452ms.;80.57ms.;114.684ms.;98.252ms.;129.582ms.;102.95ms.;110.509ms.;190.554ms.;168.44ms.;130.56ms.;197.236ms.;195.295ms.;209.718ms.;205.652ms.;245.778ms.;298.613ms.;512.307ms.;268.807ms.;829.834ms.;1311.749ms.;1589.702ms.;2503.36ms.;2385.294ms.;2491.824ms.;
99.9%;22.61ms.;50.587ms.;60.088ms.;63.022ms.;71.19ms.;194.607ms.;307.562ms.;214.888ms.;310.03ms.;323.421ms.;340.741ms.;394.241ms.;451.075ms.;657.291ms.;580.101ms.;402.42ms.;812.285ms.;735.92ms.;886.701ms.;643.844ms.;1642.545ms.;1935.062ms.;2260.421ms.;2921.223ms.;3409.107ms.;3757.505ms.;3939.973ms.;4002.888ms.;
99.99%;22.61ms.;50.587ms.;60.088ms.;63.07ms.;72.552ms.;197.489ms.;315.128ms.;218.391ms.;357.073ms.;331.049ms.;363.317ms.;547.177ms.;621.539ms.;829.227ms.;745.663ms.;935.967ms.;861.93ms.;876.045ms.;1093.156ms.;825.534ms.;1755.414ms.;2199.905ms.;2817.414ms.;3093.252ms.;3499.36ms.;4200.642ms.;4102.126ms.;4372.266ms.;
