Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;1445s,;9377,;6.489,;0%,;4.642ms;

;13;
50.0%;44.901ms.;
90.0%;120.893ms.;
95.0%;159.23ms.;
99.0%;293.832ms.;
99.9%;606.263ms.;
99.99%;4178.959ms.;
