Time;Usage default  upgradeplanner
2020-05-25T13:25:00.000Z;50
2020-05-25T13:26:00.000Z;64
2020-05-25T13:27:00.000Z;40
2020-05-25T13:28:00.000Z;45
2020-05-25T13:29:00.000Z;36
2020-05-25T13:30:00.000Z;48
2020-05-25T13:31:00.000Z;37
2020-05-25T13:32:00.000Z;65
2020-05-25T13:33:00.000Z;33
2020-05-25T13:34:00.000Z;43
2020-05-25T13:35:00.000Z;45
2020-05-25T13:36:00.000Z;31
2020-05-25T13:37:00.000Z;34
2020-05-25T13:38:00.000Z;33
2020-05-25T13:39:00.000Z;40
2020-05-25T13:40:00.000Z;32
2020-05-25T13:41:00.000Z;21
2020-05-25T13:42:00.000Z;2
2020-05-25T13:43:00.000Z;3
2020-05-25T13:44:00.000Z;null
2020-05-25T13:45:00.000Z;null
2020-05-25T13:46:00.000Z;2
2020-05-25T13:47:00.000Z;2
2020-05-25T13:48:00.000Z;2
2020-05-25T13:49:00.000Z;2
2020-05-25T13:50:00.000Z;2
2020-05-25T13:51:00.000Z;1
2020-05-25T13:52:00.000Z;174
2020-05-25T13:53:00.000Z;5
2020-05-25T13:54:00.000Z;3
2020-05-25T13:55:00.000Z;123
2020-05-25T13:56:00.000Z;56
2020-05-25T13:57:00.000Z;82
2020-05-25T13:58:00.000Z;47
2020-05-25T13:59:00.000Z;63
2020-05-25T14:00:00.000Z;61
2020-05-25T14:01:00.000Z;37
2020-05-25T14:02:00.000Z;80
2020-05-25T14:03:00.000Z;37
2020-05-25T14:04:00.000Z;62
2020-05-25T14:05:00.000Z;33
2020-05-25T14:06:00.000Z;45
2020-05-25T14:07:00.000Z;34
2020-05-25T14:08:00.000Z;47
2020-05-25T14:09:00.000Z;63
2020-05-25T14:10:00.000Z;34
2020-05-25T14:11:00.000Z;41
2020-05-25T14:12:00.000Z;34
2020-05-25T14:13:00.000Z;39
2020-05-25T14:14:00.000Z;36
2020-05-25T14:15:00.000Z;32
2020-05-25T14:16:00.000Z;34
2020-05-25T14:17:00.000Z;34
2020-05-25T14:18:00.000Z;27
2020-05-25T14:19:00.000Z;5
2020-05-25T14:20:00.000Z;4
2020-05-25T14:21:00.000Z;3
2020-05-25T14:22:00.000Z;null
2020-05-25T14:23:00.000Z;null
2020-05-25T14:24:00.000Z;2
2020-05-25T14:25:00.000Z;2
2020-05-25T14:26:00.000Z;2
2020-05-25T14:27:00.000Z;2
2020-05-25T14:28:00.000Z;1
2020-05-25T14:29:00.000Z;1
2020-05-25T14:30:00.000Z;155
2020-05-25T14:31:00.000Z;5
2020-05-25T14:32:00.000Z;3
2020-05-25T14:33:00.000Z;110
2020-05-25T14:34:00.000Z;54
2020-05-25T14:35:00.000Z;84
2020-05-25T14:36:00.000Z;42
2020-05-25T14:37:00.000Z;62
