load	capacity	throughput	slow	duration	accuracy	
50.0	48.781666666666666	29269.0	0.0	600.0	1.1409020000137389	
100.0	96.77666666666667	58066.0	0.0	600.0	0.4007849999470636	
150.0	146.295	87777.0	0.0	600.0	0.2693369999760762	
200.0	194.45	116670.0	0.0	600.0	0.18806099996436387	
250.0	241.09333333333333	144656.0	0.0	600.0	0.2337919999845326	
300.0	278.62833333333333	167177.0	0.0	600.0	0.20222700003068894	
350.0	283.5783333333333	170147.0	0.0	600.0	0.2599619999527931	
400.0	286.6	171960.0	0.0	600.0	0.24875399994198233	
450.0	285.685	171411.0	0.0	600.0	0.2159590000519529	
500.0	286.79333333333335	172076.0	0.0	600.0	0.24083200003951788	
