Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;125s,;794,;6.352,;0%,;1.471ms;

;13;
50.0%;54.81ms.;
90.0%;126.963ms.;
95.0%;163.712ms.;
99.0%;289.605ms.;
99.9%;682.417ms.;
99.99%;682.417ms.;
