Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;125s,;814,;6.512,;0%,;1.299ms;

;13;
50.0%;63.297ms.;
90.0%;109.936ms.;
95.0%;130.394ms.;
99.0%;171.168ms.;
99.9%;413.617ms.;
99.99%;413.617ms.;
