Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;1445s,;9505,;6.578,;0%,;3.545ms;

;13;
50.0%;42.465ms.;
90.0%;116.892ms.;
95.0%;157.506ms.;
99.0%;270.399ms.;
99.9%;532.141ms.;
99.99%;780.032ms.;
