Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
8,;360s,;1871,;5.197,;0%,;1.782ms;

;8;
50.0%;17.98ms.;
90.0%;69.968ms.;
95.0%;82.332ms.;
99.0%;139.122ms.;
99.9%;380.209ms.;
99.99%;401.486ms.;
