Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;266,;0.887,;0%,;1.145ms;
2,;300s,;532,;1.773,;0%,;1.176ms;
3,;300s,;766,;2.553,;0%,;1.367ms;
4,;300s,;1027,;3.423,;0%,;1.227ms;
5,;300s,;1273,;4.243,;0%,;1.756ms;
6,;300s,;1401,;4.67,;0%,;1.979ms;
7,;300s,;1664,;5.547,;0%,;1.613ms;
8,;300s,;1680,;5.6,;0%,;1.527ms;
9,;300s,;1730,;5.767,;0%,;1.256ms;
10,;300s,;1838,;6.127,;0%,;1.039ms;
11,;300s,;1947,;6.49,;0%,;1.071ms;
12,;300s,;2004,;6.68,;0%,;1.073ms;
13,;300s,;2093,;6.977,;0%,;1.04ms;
14,;300s,;2170,;7.233,;0%,;1.487ms;
15,;300s,;2251,;7.503,;0%,;1.607ms;
16,;300s,;2356,;7.853,;0%,;1.442ms;
17,;300s,;2399,;7.997,;0%,;1.321ms;
18,;300s,;2457,;8.19,;0%,;1.644ms;
19,;300s,;2569,;8.563,;0%,;1.112ms;
20,;300s,;2600,;8.667,;0%,;1.788ms;
25,;300s,;2955,;9.85,;0%,;1.247ms;
30,;300s,;3275,;10.917,;0%,;1.276ms;
35,;300s,;3401,;11.337,;0%,;1.501ms;
40,;300s,;3608,;12.027,;0%,;1.291ms;
45,;300s,;3694,;12.313,;0%,;1.724ms;
50,;300s,;3800,;12.667,;0%,;1.656ms;
55,;300s,;3908,;13.027,;0%,;1.139ms;
60,;300s,;4022,;13.407,;0%,;1.038ms;
65,;300s,;4163,;13.877,;1.537%,;0.958ms;
70,;300s,;4481,;14.937,;8.592%,;1.126ms;
75,;300s,;4956,;16.52,;14.649%,;1.565ms;
80,;300s,;5341,;17.803,;20.127%,;1.643ms;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;25;30;35;40;45;50;55;60;65;70;75;80;
50.0%;6.981ms.;5.57ms.;5.762ms.;5.079ms.;5.18ms.;6.134ms.;5.286ms.;18.54ms.;19.41ms.;21.338ms.;26.847ms.;31.965ms.;39.205ms.;37.737ms.;45.045ms.;46.198ms.;50.315ms.;49.347ms.;61.658ms.;58.338ms.;69.536ms.;66.491ms.;80.817ms.;82.621ms.;92.4ms.;87.596ms.;98.505ms.;109.862ms.;113.229ms.;106.616ms.;115.563ms.;118.745ms.;
90.0%;10.832ms.;8.68ms.;10.578ms.;9.74ms.;11.218ms.;25.498ms.;29.427ms.;51.017ms.;58.703ms.;52.679ms.;65.927ms.;67.913ms.;85.331ms.;77.316ms.;81.772ms.;88.535ms.;97.378ms.;91.655ms.;102.044ms.;92.133ms.;113.109ms.;106.588ms.;119.543ms.;125.115ms.;139.335ms.;129.946ms.;154.861ms.;165.426ms.;169.491ms.;170.237ms.;193.85ms.;232.431ms.;
95.0%;15.033ms.;12.562ms.;16.495ms.;15.351ms.;16.937ms.;33.853ms.;41.146ms.;59.172ms.;70.838ms.;61.866ms.;76.09ms.;75.726ms.;94.151ms.;88.488ms.;97.851ms.;98.492ms.;108.999ms.;100.503ms.;115.455ms.;101.103ms.;130.126ms.;120.382ms.;142.317ms.;148.182ms.;162.086ms.;144.983ms.;174.877ms.;186.638ms.;196.013ms.;205.8ms.;248.501ms.;431.585ms.;
99.0%;24.897ms.;25.937ms.;32.537ms.;31.419ms.;34.514ms.;49.308ms.;58.807ms.;87.475ms.;99.23ms.;83.277ms.;110.632ms.;102.803ms.;106.471ms.;118.24ms.;126.898ms.;123.004ms.;144.618ms.;143.862ms.;160.252ms.;127.702ms.;189.62ms.;256.88ms.;384.972ms.;391.924ms.;819.514ms.;770.527ms.;1393.311ms.;1782.726ms.;1370.625ms.;1761.619ms.;1323.316ms.;2210.551ms.;
99.9%;33.494ms.;30.199ms.;55.662ms.;44.202ms.;109.677ms.;166.517ms.;136.173ms.;183.663ms.;265.201ms.;216.134ms.;312.134ms.;267.075ms.;175.188ms.;409.415ms.;403.534ms.;317.741ms.;496.84ms.;458.779ms.;449.118ms.;476.309ms.;972.683ms.;1311.069ms.;1641.658ms.;1878.38ms.;2055.784ms.;2483.416ms.;2811.106ms.;2840.954ms.;3310.276ms.;3164.622ms.;2966.957ms.;3039.237ms.;
99.99%;33.494ms.;30.199ms.;55.662ms.;44.26ms.;128.113ms.;171.08ms.;183.195ms.;203.382ms.;274.681ms.;284.278ms.;330.454ms.;299.212ms.;211.112ms.;428.979ms.;450.995ms.;525.929ms.;689.335ms.;487.204ms.;484.739ms.;514.216ms.;1305.677ms.;1482.875ms.;1831.416ms.;2045.011ms.;2467.359ms.;2859.593ms.;3083.101ms.;3180.242ms.;3419.006ms.;3243.307ms.;3103.329ms.;3251.73ms.;
