Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;255,;0.85,;0%,;1.292ms;
2,;300s,;482,;1.607,;0%,;1.05ms;
3,;300s,;738,;2.46,;0%,;1.167ms;
4,;300s,;966,;3.22,;0%,;1.434ms;
5,;300s,;1175,;3.917,;0%,;1.425ms;
6,;300s,;1239,;4.13,;0%,;1.47ms;
7,;300s,;1240,;4.133,;0%,;1.905ms;
8,;300s,;1202,;4.007,;0%,;1.335ms;
9,;300s,;1266,;4.22,;0%,;1.856ms;
10,;300s,;1270,;4.233,;0%,;4.81ms;
11,;300s,;1309,;4.363,;0%,;1.182ms;
12,;300s,;1298,;4.327,;0%,;1.263ms;
13,;300s,;1343,;4.477,;0%,;1.202ms;
14,;300s,;1401,;4.67,;0%,;1.836ms;
15,;300s,;1441,;4.803,;0%,;1.448ms;
20,;300s,;1480,;4.933,;0%,;1.239ms;
25,;300s,;1551,;5.17,;0%,;1.296ms;
30,;300s,;1713,;5.71,;0%,;1.014ms;
35,;300s,;1650,;5.5,;0%,;24.218ms;
40,;300s,;1643,;5.477,;0%,;1.554ms;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;20;25;30;35;40;
50.0%;8.382ms.;7.011ms.;6.425ms.;6.628ms.;6.339ms.;6.312ms.;12.368ms.;29.522ms.;39.925ms.;39.888ms.;80.765ms.;78.385ms.;91.488ms.;94.815ms.;102.977ms.;131.306ms.;161.439ms.;133.109ms.;213.626ms.;214.585ms.;
90.0%;12.672ms.;15.756ms.;13.461ms.;18.06ms.;19.666ms.;49.724ms.;81.209ms.;99.701ms.;106.426ms.;102.422ms.;169.509ms.;163.594ms.;177.445ms.;172.452ms.;200.669ms.;227.287ms.;282.865ms.;283.6ms.;375.839ms.;333.078ms.;
95.0%;15.822ms.;48.385ms.;34.024ms.;56.275ms.;59.204ms.;69.077ms.;90.241ms.;113.811ms.;129.863ms.;116.942ms.;185.933ms.;181.351ms.;197.524ms.;188.509ms.;218.615ms.;280.078ms.;306.338ms.;306.114ms.;401.615ms.;396.058ms.;
99.0%;29.537ms.;63.207ms.;62.317ms.;65.578ms.;71.363ms.;82.367ms.;187.38ms.;299.752ms.;401.304ms.;222.866ms.;288.258ms.;215.232ms.;258.889ms.;268.122ms.;289.029ms.;309.496ms.;474.732ms.;995.225ms.;3057.049ms.;1619.904ms.;
99.9%;39.26ms.;90.874ms.;74.302ms.;72.009ms.;84.835ms.;303.651ms.;507.261ms.;580.499ms.;663.374ms.;680.798ms.;843.676ms.;681.915ms.;1107.181ms.;631.369ms.;1443.788ms.;2151.903ms.;3014.245ms.;3442.795ms.;4458.106ms.;5777.964ms.;
99.99%;39.26ms.;90.874ms.;74.302ms.;72.009ms.;84.998ms.;311.944ms.;511.229ms.;607.868ms.;682.652ms.;681.146ms.;862.576ms.;682.097ms.;1115.91ms.;717.389ms.;1492.202ms.;2577.006ms.;3298.979ms.;3531.433ms.;4601.937ms.;5980.374ms.;
