Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;211,;0.703,;0%,;1.543ms;
2,;300s,;355,;1.183,;0%,;1.153ms;
3,;300s,;556,;1.853,;0%,;1.568ms;
4,;300s,;678,;2.26,;0%,;2.196ms;
5,;300s,;617,;2.057,;0%,;1.522ms;
6,;300s,;589,;1.963,;0%,;1.739ms;
7,;300s,;642,;2.14,;0%,;1.861ms;
8,;300s,;624,;2.08,;0%,;2.128ms;
9,;300s,;657,;2.19,;0%,;1.81ms;
10,;300s,;670,;2.233,;0%,;2.379ms;

;1;2;3;4;5;6;7;8;9;10;
50.0%;9.236ms.;8.088ms.;7.547ms.;8.37ms.;13.216ms.;91.358ms.;99.679ms.;106.013ms.;105.208ms.;186.182ms.;
90.0%;65.159ms.;80.309ms.;84.708ms.;90.725ms.;99.728ms.;190.726ms.;207.445ms.;280.046ms.;297.606ms.;300.976ms.;
95.0%;69.078ms.;86.598ms.;87.837ms.;96.56ms.;106.574ms.;197.446ms.;302.043ms.;294.757ms.;312.042ms.;384.762ms.;
99.0%;78.009ms.;96.568ms.;98.438ms.;128.226ms.;199.015ms.;290.222ms.;702.683ms.;396.533ms.;1449.681ms.;828.012ms.;
99.9%;79.294ms.;177.736ms.;113.263ms.;209.074ms.;493.622ms.;1003.316ms.;1089.143ms.;898.445ms.;1904.597ms.;1394.868ms.;
99.99%;79.294ms.;177.736ms.;113.263ms.;209.074ms.;493.622ms.;1003.316ms.;1089.143ms.;898.445ms.;1904.597ms.;1394.868ms.;
