Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;1445s,;9168,;6.345,;0%,;3.105ms;

;13;
50.0%;51.95ms.;
90.0%;122.182ms.;
95.0%;164.109ms.;
99.0%;262.449ms.;
99.9%;604.016ms.;
99.99%;802.032ms.;
