Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;1445s,;9387,;6.496,;0%,;3.092ms;

;13;
50.0%;45.692ms.;
90.0%;116.506ms.;
95.0%;155.642ms.;
99.0%;247.353ms.;
99.9%;597.893ms.;
99.99%;868.801ms.;
