Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;259,;0.863,;0%,;1.041ms;
2,;300s,;506,;1.687,;0%,;1.084ms;
3,;300s,;758,;2.527,;0%,;1.062ms;
4,;300s,;1015,;3.383,;0%,;1.214ms;
5,;300s,;1239,;4.13,;0%,;1.381ms;
6,;300s,;1482,;4.94,;0%,;1.283ms;
7,;300s,;1412,;4.707,;0%,;1.339ms;
8,;300s,;1496,;4.987,;0%,;1.463ms;
9,;300s,;1504,;5.013,;0%,;1.295ms;
10,;300s,;1634,;5.447,;0%,;1.604ms;
11,;300s,;1683,;5.61,;0%,;1.671ms;
12,;300s,;1728,;5.76,;0%,;2.549ms;
13,;300s,;1807,;6.023,;0%,;1.376ms;
14,;300s,;1878,;6.26,;0%,;1.749ms;
15,;300s,;1926,;6.42,;0%,;1.825ms;
16,;300s,;1955,;6.517,;0%,;1.798ms;
17,;300s,;2144,;7.147,;0%,;1.765ms;
18,;300s,;2106,;7.02,;0%,;1.223ms;
19,;300s,;2111,;7.037,;0%,;1.687ms;
20,;300s,;2102,;7.007,;0%,;2.351ms;
25,;300s,;2250,;7.5,;0%,;1.483ms;
30,;300s,;2402,;8.007,;0%,;1.005ms;
35,;300s,;2522,;8.407,;0%,;1.725ms;
40,;300s,;2563,;8.543,;0%,;1.68ms;
45,;300s,;2745,;9.15,;0%,;5.559ms;
50,;300s,;2652,;8.84,;0%,;1.587ms;
55,;300s,;2751,;9.17,;0%,;1.542ms;
60,;300s,;2765,;9.217,;0%,;1.212ms;
65,;300s,;2801,;9.337,;1.571%,;1.193ms;
70,;300s,;3013,;10.043,;8.563%,;1.073ms;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;25;30;35;40;45;50;55;60;65;70;
50.0%;8.279ms.;6.909ms.;6.367ms.;6.194ms.;5.617ms.;6.091ms.;13.099ms.;16.434ms.;32.285ms.;30.748ms.;39.186ms.;43.263ms.;44.904ms.;55.46ms.;73.235ms.;57.35ms.;61.28ms.;74.725ms.;88.169ms.;84.622ms.;91.989ms.;102.575ms.;106.57ms.;133.807ms.;127.469ms.;150.663ms.;143.488ms.;153.911ms.;162.255ms.;154.688ms.;
90.0%;11.865ms.;11.657ms.;11.671ms.;11.359ms.;12.556ms.;15.251ms.;55.928ms.;64.701ms.;83.26ms.;81.819ms.;90.257ms.;90.271ms.;100.477ms.;97.281ms.;126.819ms.;108.166ms.;107.742ms.;119.001ms.;155.553ms.;156.557ms.;151.219ms.;178.082ms.;194.566ms.;239.093ms.;204.354ms.;226.02ms.;216.988ms.;246.503ms.;243.493ms.;252.353ms.;
95.0%;15.726ms.;16.535ms.;16.291ms.;16.472ms.;22.488ms.;30.896ms.;64.771ms.;71.008ms.;96.512ms.;91.382ms.;101.355ms.;101.054ms.;113.47ms.;107.134ms.;158.656ms.;140.648ms.;125.322ms.;141.803ms.;176.93ms.;177.275ms.;172.313ms.;193.566ms.;218.195ms.;276.749ms.;238.527ms.;256.102ms.;252.818ms.;299.806ms.;294.837ms.;298.74ms.;
99.0%;34.843ms.;41.094ms.;43.468ms.;40.768ms.;48.842ms.;51.455ms.;116.439ms.;86.784ms.;112.189ms.;129.779ms.;133.434ms.;147.705ms.;163.376ms.;151.24ms.;213.065ms.;202.694ms.;233.768ms.;177.011ms.;223.473ms.;311.601ms.;210.562ms.;443.513ms.;968.255ms.;1503.454ms.;1916.389ms.;2258.646ms.;2596.761ms.;2943.397ms.;3499.953ms.;3674.483ms.;
99.9%;46.088ms.;50.565ms.;81.297ms.;63.375ms.;95.9ms.;67.933ms.;302.546ms.;198.315ms.;344.755ms.;377.475ms.;297.026ms.;374.18ms.;304.808ms.;415.367ms.;548.668ms.;493.874ms.;729.299ms.;844.351ms.;1209.171ms.;1237.461ms.;1447.171ms.;1966.231ms.;2598.058ms.;2964.731ms.;3559.089ms.;3700.01ms.;4382.386ms.;5102.151ms.;5550.183ms.;5446.696ms.;
99.99%;46.088ms.;50.565ms.;81.297ms.;63.44ms.;98.929ms.;72.986ms.;319.229ms.;198.944ms.;405.149ms.;404.595ms.;311.58ms.;390.918ms.;329.454ms.;440.498ms.;694.991ms.;497.865ms.;798.631ms.;1137.778ms.;1273.831ms.;1301.79ms.;2000.009ms.;2425.365ms.;2741.484ms.;3096.785ms.;3999.918ms.;4164.907ms.;4429.128ms.;5178.663ms.;5574.028ms.;5675.454ms.;
