Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
8,;360s,;1864,;5.178,;0%,;1.978ms;

;8;
50.0%;18.264ms.;
90.0%;76.95ms.;
95.0%;93.698ms.;
99.0%;118.462ms.;
99.9%;245.205ms.;
99.99%;280.82ms.;
