Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;130s,;816,;6.277,;0%,;1.9ms
;;;;;
;13;;;;
50.00%;58.367ms.;;;;
90.00%;118.482ms.;;;;
95.00%;157.146ms.;;;;
99.00%;282.307ms.;;;;
99.90%;577.083ms.;;;;
99.99%;577.083ms.;;;;
