Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;104,;0.347,;0%,;1.64ms;
2,;300s,;157,;0.523,;0%,;1.288ms;
3,;300s,;164,;0.547,;0%,;1.465ms;
4,;300s,;164,;0.547,;0%,;1.118ms;
5,;300s,;166,;0.553,;0%,;1.258ms;

;1;2;3;4;5;
50.0%;94.608ms.;103.513ms.;199.105ms.;199.168ms.;301.512ms.;
90.0%;105.76ms.;294.819ms.;397.445ms.;399.094ms.;699.077ms.;
95.0%;196.094ms.;310.512ms.;403.211ms.;495.973ms.;1031.393ms.;
99.0%;258.882ms.;538.825ms.;727.928ms.;1007.301ms.;2364.716ms.;
99.9%;261.986ms.;595.795ms.;802.634ms.;1800.999ms.;2902.693ms.;
99.99%;261.986ms.;595.795ms.;802.634ms.;1800.999ms.;2902.693ms.;
