Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;1445s,;9281,;6.423,;0%,;2.022ms;

;13;
50.0%;45.829ms.;
90.0%;125.293ms.;
95.0%;172.241ms.;
99.0%;284.764ms.;
99.9%;559.133ms.;
99.99%;793.837ms.;
