Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;190,;0.633,;0%,;1.227ms;
2,;300s,;330,;1.1,;0%,;1.342ms;
3,;300s,;466,;1.553,;0%,;1.596ms;
4,;300s,;528,;1.76,;0%,;1.29ms;
5,;300s,;471,;1.57,;0%,;1.615ms;

;1;2;3;4;5;
50.0%;9.808ms.;8.434ms.;7.827ms.;8.784ms.;88.792ms.;
90.0%;73.905ms.;90.091ms.;92.196ms.;99.097ms.;110.359ms.;
95.0%;78.207ms.;93.789ms.;95.382ms.;104.319ms.;197.62ms.;
99.0%;95.181ms.;103.434ms.;187.401ms.;191.558ms.;329.507ms.;
99.9%;108.605ms.;191.329ms.;195.346ms.;301.718ms.;895.37ms.;
99.99%;108.605ms.;191.329ms.;195.346ms.;301.718ms.;895.37ms.;
