Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;1445s,;9377,;6.489,;0%,;1.785ms;

;13;
50.0%;44.711ms.;
90.0%;118.41ms.;
95.0%;165.229ms.;
99.0%;302.271ms.;
99.9%;966.239ms.;
99.99%;4439.45ms.;
