Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
13,;130s,;830,;6.385,;0%,;2.66ms;

;13;
50.0%;51.492ms.;
90.0%;114.28ms.;
95.0%;146.502ms.;
99.0%;389.757ms.;
99.9%;538.549ms.;
99.99%;538.549ms.;
