10:54:04;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-jlcpp;0.0;Running;2020-05-17T10:48:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-8jtdb;871.0;Running;2020-05-17T10:49:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-s9xcc;0.0;Running;2020-05-17T10:49:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-vwmvz;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-8hxrt;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
total;871
10:54:06;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-jlcpp;0.0;Running;2020-05-17T10:48:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-8jtdb;871.0;Running;2020-05-17T10:49:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-s9xcc;0.0;Running;2020-05-17T10:49:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-vwmvz;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-8hxrt;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
total;871
10:54:07;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-jlcpp;0.0;Running;2020-05-17T10:48:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-8jtdb;871.0;Running;2020-05-17T10:49:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-s9xcc;0.0;Running;2020-05-17T10:49:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-vwmvz;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-8hxrt;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
total;871
10:54:08;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-jlcpp;0.0;Running;2020-05-17T10:48:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-8jtdb;871.0;Running;2020-05-17T10:49:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-s9xcc;0.0;Running;2020-05-17T10:49:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-vwmvz;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-8hxrt;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
total;871
10:54:09;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-jlcpp;0.0;Running;2020-05-17T10:48:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-8jtdb;871.0;Running;2020-05-17T10:49:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-s9xcc;0.0;Running;2020-05-17T10:49:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-vwmvz;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-8hxrt;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
total;871
10:54:10;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-jlcpp;0.0;Running;2020-05-17T10:48:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-8jtdb;871.0;Running;2020-05-17T10:49:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-s9xcc;0.0;Running;2020-05-17T10:49:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-vwmvz;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-8hxrt;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
total;871
10:54:11;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-jlcpp;0.0;Running;2020-05-17T10:48:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-8jtdb;871.0;Running;2020-05-17T10:49:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-s9xcc;0.0;Running;2020-05-17T10:49:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-vwmvz;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-8hxrt;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
total;871
10:54:12;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-jlcpp;0.0;Running;2020-05-17T10:48:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-8jtdb;871.0;Running;2020-05-17T10:49:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-s9xcc;0.0;Running;2020-05-17T10:49:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-vwmvz;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-8hxrt;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
total;871
10:54:13;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-jlcpp;0.0;Running;2020-05-17T10:48:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-8jtdb;871.0;Running;2020-05-17T10:49:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-s9xcc;0.0;Running;2020-05-17T10:49:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-vwmvz;0.0;Running;2020-05-17T10:48:40.000Z;null;null;True;Initialized;null
