13:11:04;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-7r26x;0.0;Running;2020-05-17T13:05:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-fvqkc;871.0;Running;2020-05-17T13:06:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-9wlx2;0.0;Running;2020-05-17T13:06:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-tb5t4;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-qrvxr;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
total;871
13:11:05;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-7r26x;0.0;Running;2020-05-17T13:05:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-fvqkc;871.0;Running;2020-05-17T13:06:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-9wlx2;0.0;Running;2020-05-17T13:06:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-tb5t4;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-qrvxr;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
total;871
13:11:06;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-7r26x;0.0;Running;2020-05-17T13:05:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-fvqkc;871.0;Running;2020-05-17T13:06:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-9wlx2;0.0;Running;2020-05-17T13:06:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-tb5t4;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-qrvxr;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
total;871
13:11:07;CPU requests;phase;lastTransitionTime;message;reason;status;type;deletionTimeStamp
experiment-controller-0;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
mongo-db-747df89945-7r26x;0.0;Running;2020-05-17T13:05:41.000Z;null;null;True;Initialized;null
mt-api-v1-5b869d4fb4-fvqkc;871.0;Running;2020-05-17T13:06:02.000Z;null;null;True;Initialized;null
mt-api-v2-5d8fd6f8b-9wlx2;0.0;Running;2020-05-17T13:06:03.000Z;null;null;True;Initialized;null
postgresdb-68bc9dffd7-tb5t4;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
upgradeplanner-58cbb7b9c6-qrvxr;0.0;Running;2020-05-17T13:05:40.000Z;null;null;True;Initialized;null
total;871
