load	capacity	throughput	slow	duration	accuracy	
200.0	197.61666666666667	11857.0	0.0	60.0	0.18372100000124192	
350.0	340.0833333333333	20405.0	0.00490075961774075	60.0	0.18627199999900768	
200.0	197.61666666666667	11857.0	0.0	60.0	0.16979800000262912	
200.0	198.0	11880.0	0.0	60.0	0.1654500000004191	
200.0	197.81666666666666	11869.0	0.0	60.0	0.22711200000048848	
200.0	196.98333333333332	11819.0	0.0	60.0	0.17576700000063283	
200.0	197.76666666666668	11866.0	0.0	60.0	0.2721949999977369	
350.0	340.3666666666667	20422.0	0.0	60.0	0.20869600000150967	
200.0	197.45	11847.0	0.0	60.0	0.1666849999965052	
200.0	197.48333333333332	11849.0	0.0	60.0	0.18466900000203168	
200.0	197.88333333333333	11873.0	0.0	60.0	0.2159689999971306	
200.0	197.41666666666666	11845.0	0.0	60.0	0.1765949999971781	
200.0	197.86666666666667	11872.0	0.0	60.0	0.18746999999711988	
350.0	340.05	20403.0	0.0	60.0	0.1807180000032531	
200.0	197.11666666666667	11827.0	0.0	60.0	0.23437299999932293	
200.0	197.63333333333333	11858.0	0.0	60.0	0.2066209999975399	
200.0	196.73333333333332	11804.0	0.0	60.0	0.2568810000011581	
200.0	197.48333333333332	11849.0	0.0	60.0	0.17344500000035623	
200.0	196.53333333333333	11792.0	0.0	60.0	0.17594899999676272	
350.0	337.3	20238.0	0.0	60.0	0.18158799999946496	
200.0	197.45	11847.0	0.0	60.0	0.21923499999684282	
200.0	197.25	11835.0	0.0	60.0	0.26918899999873247	
200.0	198.21666666666667	11893.0	0.0	60.0	0.20507499999803258	
200.0	197.5	11850.0	0.0	60.0	0.2135310000012396	
200.0	196.86666666666667	11812.0	0.0	60.0	0.21889999999984866	
350.0	339.71666666666664	20383.0	0.0	60.0	0.20535799999925075	
200.0	198.23333333333332	11894.0	0.0	60.0	0.17483099999662954	
200.0	196.53333333333333	11792.0	0.0	60.0	0.22990299999946728	
200.0	197.08333333333334	11825.0	0.0	60.0	0.29531300000235206	
200.0	197.73333333333332	11864.0	0.0	60.0	0.23088699999789242	
200.0	197.91666666666666	11875.0	0.0	60.0	0.23164399999950547	
350.0	338.7	20322.0	0.0	60.0	0.2650980000034906	
