load	capacity	throughput	slow	duration	accuracy	
200.0	170.4	10224.0	0.0	60.0	0.8347989999965648	
200.0	197.43333333333334	11846.0	0.0	60.0	0.49350399999821093	
200.0	196.46666666666667	11788.0	0.0	60.0	0.2694859999974142	
200.0	197.45	11847.0	0.0	60.0	0.21947399999771733	
200.0	197.15	11829.0	0.0	60.0	0.21767499999987194	
200.0	198.25	11895.0	0.0	60.0	0.20377800000278512	
200.0	196.88333333333333	11813.0	0.0	60.0	0.2521439999982249	
200.0	196.88333333333333	11813.0	0.0	60.0	0.3676239999986137	
200.0	198.15	11889.0	0.0	60.0	0.20182699999713805	
200.0	197.73333333333332	11864.0	0.0	60.0	0.18628599999647122	
200.0	197.68333333333334	11861.0	0.0	60.0	0.22055399999953806	
350.0	337.05	20223.0	0.0	60.0	0.3904439999969327	
200.0	197.93333333333334	11876.0	0.0	60.0	0.26959999999962747	
200.0	197.91666666666666	11875.0	0.0	60.0	0.2503100000030827	
200.0	197.46666666666667	11848.0	0.0	60.0	0.22493299999769079	
200.0	197.68333333333334	11861.0	0.0	60.0	0.19667800000024727	
200.0	196.91666666666666	11815.0	0.0	60.0	0.1879479999988689	
350.0	340.6166666666667	20437.0	0.0	60.0	0.20595699999830686	
200.0	197.48333333333332	11849.0	0.0	60.0	0.1884460000001127	
200.0	197.88333333333333	11873.0	0.0	60.0	0.1683499999999185	
200.0	197.31666666666666	11839.0	0.0	60.0	0.3006729999979143	
200.0	197.48333333333332	11849.0	0.0	60.0	0.195134000001417	
200.0	196.86666666666667	11812.0	0.0	60.0	0.20275699999911012	
350.0	338.65	20319.0	0.0	60.0	0.30462599999736995	
200.0	197.23333333333332	11834.0	0.0	60.0	0.22465299999748822	
200.0	197.53333333333333	11852.0	0.0	60.0	0.16246800000226358	
200.0	197.8	11868.0	0.0	60.0	0.20249299999704817	
200.0	197.0	11820.0	0.0	60.0	0.19462200000270968	
200.0	197.66666666666666	11860.0	0.0	60.0	0.18447500000183936	
350.0	340.55	20433.0	0.0	60.0	0.18531000000075437	
200.0	198.33333333333334	11900.0	0.0	60.0	0.25299400000221794	
200.0	197.93333333333334	11876.0	0.0	60.0	0.23635400000057416	
200.0	198.06666666666666	11884.0	0.0	60.0	0.17464099999779137	
200.0	197.83333333333334	11870.0	0.0	60.0	0.1630139999979292	
200.0	197.08333333333334	11825.0	0.0	60.0	0.19805099999939557	
350.0	340.4	20424.0	0.0	60.0	0.16378699999768287	
200.0	197.98333333333332	11879.0	0.0	60.0	0.2257549999994808	
200.0	198.31666666666666	11899.0	0.0	60.0	0.2122400000007474	
200.0	198.06666666666666	11884.0	0.0	60.0	0.19436200000200188	
200.0	196.83333333333334	11810.0	0.0	60.0	0.22142799999710405	
200.0	197.16666666666666	11830.0	0.0	60.0	0.20605899999645771	
350.0	341.75	20505.0	0.0	60.0	0.2735109999994165	
200.0	197.03333333333333	11822.0	0.0	60.0	0.20618200000171782	
200.0	197.4	11844.0	0.0	60.0	0.30995399999665096	
200.0	198.05	11883.0	0.0	60.0	0.2330950000032317	
200.0	198.0	11880.0	0.0	60.0	0.38314600000012433	
200.0	197.36666666666667	11842.0	0.0	60.0	0.2247990000032587	
350.0	338.5	20310.0	0.0	60.0	0.1881950000024517	
200.0	197.15	11829.0	0.0	60.0	0.1669800000017858	
200.0	198.11666666666667	11887.0	0.0	60.0	0.26555999999982305	
200.0	198.08333333333334	11885.0	0.0	60.0	0.2915710000015679	
200.0	197.4	11844.0	0.0	60.0	0.17641100000037113	
200.0	196.18333333333334	11771.0	0.0	60.0	0.18138599999656435	
350.0	341.3	20478.0	0.0	60.0	0.21616199999698438	
200.0	197.08333333333334	11825.0	0.0	60.0	0.2075909999985015	
200.0	197.68333333333334	11861.0	0.0	60.0	0.23108399999910034	
200.0	198.03333333333333	11882.0	0.0	60.0	0.2448999999978696	
200.0	197.78333333333333	11867.0	0.0	60.0	0.19740699999965727	
200.0	195.75	11745.0	0.0	60.0	0.1945350000023609	
350.0	339.25	20355.0	0.0	60.0	0.17100400000344962	
200.0	197.76666666666668	11866.0	0.0	60.0	0.34064699999726145	
200.0	195.7	11742.0	0.0	60.0	0.18843899999774294	
200.0	198.1	11886.0	0.0	60.0	0.26443899999867426	
200.0	198.13333333333333	11888.0	0.0	60.0	0.1956690000006347	
200.0	197.83333333333334	11870.0	0.0	60.0	0.20483200000307988	
350.0	339.78333333333336	20387.0	0.0	60.0	0.1737520000024233	
200.0	197.23333333333332	11834.0	0.0	60.0	0.22742699999798788	
200.0	196.71666666666667	11803.0	0.0	60.0	0.26819999999861466	
200.0	197.56666666666666	11854.0	0.0	60.0	0.2546319999964908	
200.0	197.63333333333333	11858.0	0.0	60.0	0.4256359999999404	
200.0	196.88333333333333	11813.0	0.0	60.0	0.24343499999667984	
350.0	340.9	20454.0	0.0	60.0	0.16957499999989523	
200.0	197.26666666666668	11836.0	0.0	60.0	0.2051560000036261	
200.0	197.4	11844.0	0.0	60.0	0.17714500000147382	
200.0	198.0	11880.0	0.0	60.0	0.18923699999868404	
200.0	197.8	11868.0	0.0	60.0	0.19872600000235252	
200.0	197.36666666666667	11842.0	0.0	60.0	0.2670429999998305	
350.0	339.9	20394.0	0.0	60.0	0.24504699999670265	
200.0	197.73333333333332	11864.0	0.0	60.0	0.21083699999871897	
200.0	197.78333333333333	11867.0	0.0	60.0	0.21228900000278372	
200.0	197.81666666666666	11869.0	0.0	60.0	0.16533999999955995	
200.0	197.53333333333333	11852.0	0.0	60.0	0.18006700000114506	
