200,287.515
200,36.398
200,37.016
200,40.583
200,36.742
200,30.279
200,42.134
200,52.403
200,28.626
200,30.104
200,23.747
350,177.14
200,34.66
200,28.697
200,29.482
200,32.567
200,50.135
350,94.09
200,26.784
200,31.752
200,35.59
200,33.988
200,48.778
350,134.743
200,54.874
200,41.4
200,30.451
200,43.23
200,33.882
350,114.124
200,30.455
200,30.162
200,31.194
200,31.124
200,43.792
350,106.021
200,25.207
200,31.58
200,30.18
200,44.553
200,49.956
350,93.469
200,35.142
200,47.441
200,27.592
200,29.411
200,48.46
350,130.01
200,39.868
200,27.694
200,35.837
200,29.406
200,47.441
350,98.383
200,43.581
200,30.818
200,20.347
200,33.699
200,74.785
350,118.002
200,36.812
200,70.227
200,26.496
200,29.833
200,30.375
350,113.079
200,37.213
200,42.628
200,27.908
200,27.671
200,47.665
350,109.724
200,35.621
200,33.278
200,24.963
200,25.617
200,45.68
350,111.264
200,30.821
200,32.664
200,34.672
200,31.564
200,64.736
350,101.509
200,31.985
200,34.616
200,27.811
200,35.78
200,37.974
350,85.219
200,34.456
200,32.181
200,35.439
200,29.821
200,40.255
350,111.804
200,28.826
200,30.901
200,31.106
200,38.676
200,35.327
350,102.875
200,44.904
200,46.303
200,31.568
200,34.835
200,32.416
350,109.54
200,35.663
200,31.071
200,49.204
200,29.046
200,67.491
350,159.997
200,43.914
200,28.508
200,26.838
200,39.108
200,45.447
350,115.119
200,31.571
200,44.248
200,33.706
200,31.857
200,34.139
350,138.944
