Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;259,;0.863,;0%,;1.173ms;
2,;300s,;482,;1.607,;0%,;1.02ms;
3,;300s,;731,;2.437,;0%,;1.461ms;
4,;300s,;979,;3.263,;0%,;1.964ms;
5,;300s,;1188,;3.96,;0%,;1.647ms;
6,;300s,;1268,;4.227,;0%,;1.179ms;
7,;300s,;1238,;4.127,;0%,;1.089ms;
8,;300s,;1197,;3.99,;0%,;1.683ms;
9,;300s,;1227,;4.09,;0%,;1.289ms;
10,;300s,;1290,;4.3,;0%,;1.82ms;
11,;300s,;1312,;4.373,;0%,;1.966ms;
12,;300s,;1309,;4.363,;0%,;1.069ms;
13,;300s,;1354,;4.513,;0%,;1.102ms;
14,;300s,;1359,;4.53,;0%,;1.5ms;
15,;300s,;1470,;4.9,;0%,;1.473ms;
20,;300s,;1424,;4.747,;0%,;1.353ms;
25,;300s,;1454,;4.847,;0%,;1.48ms;
30,;300s,;1474,;4.913,;0%,;1.12ms;
35,;300s,;1541,;5.137,;0%,;1.958ms;
40,;300s,;1494,;4.98,;0%,;1.22ms;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;20;25;30;35;40;
50.0%;6.742ms.;6.234ms.;5.762ms.;5.6ms.;5.314ms.;5.627ms.;9.989ms.;22.822ms.;29.823ms.;26.32ms.;85.046ms.;69.416ms.;95.836ms.;98.93ms.;102.018ms.;115.033ms.;190.789ms.;203.912ms.;207.417ms.;232.297ms.;
90.0%;12.665ms.;14.302ms.;12.917ms.;17.464ms.;13.9ms.;63.874ms.;86.564ms.;101.142ms.;104.985ms.;99.86ms.;184.422ms.;112.952ms.;192.055ms.;194.967ms.;193.402ms.;275.98ms.;300.597ms.;314.511ms.;321.938ms.;398.096ms.;
95.0%;20.422ms.;49.834ms.;45.597ms.;53.955ms.;60.377ms.;72.387ms.;96.605ms.;108.395ms.;125.855ms.;112.993ms.;200.646ms.;170.124ms.;208.305ms.;207.005ms.;208.968ms.;295.548ms.;316.076ms.;386.869ms.;427.994ms.;470.291ms.;
99.0%;29.478ms.;68.014ms.;67.824ms.;69.27ms.;74.226ms.;112.641ms.;220.83ms.;180.796ms.;205.167ms.;320.003ms.;459.172ms.;202.992ms.;379.846ms.;313.182ms.;310.932ms.;480.64ms.;914.83ms.;893.846ms.;2195.592ms.;3316.135ms.;
99.9%;55.409ms.;76.052ms.;74.805ms.;96.338ms.;94.394ms.;444.764ms.;424.277ms.;499.16ms.;694.674ms.;627.608ms.;697.195ms.;848.894ms.;1104.092ms.;1227.462ms.;1126.495ms.;1888.61ms.;3711.686ms.;4389.656ms.;5388.349ms.;6432.702ms.;
99.99%;55.409ms.;76.052ms.;74.805ms.;96.338ms.;95.548ms.;499.728ms.;427.534ms.;502.414ms.;717.57ms.;673.404ms.;711.065ms.;908.379ms.;1207.702ms.;1424.845ms.;1148.825ms.;2099.758ms.;3896.163ms.;4448.118ms.;5494.808ms.;6915.304ms.;
