Load;Duration;Throughput;Capacity;Slow Requests;Timing Accuracy
1,;300s,;267,;0.89,;0%,;0.803ms;
2,;300s,;532,;1.773,;0%,;0.994ms;
3,;300s,;787,;2.623,;0%,;1.372ms;
4,;300s,;1056,;3.52,;0%,;1.522ms;
5,;300s,;1317,;4.39,;0%,;2.426ms;
6,;300s,;1311,;4.37,;0%,;1.318ms;
7,;300s,;1728,;5.76,;0%,;1.493ms;
8,;300s,;1465,;4.883,;0%,;1.57ms;
9,;300s,;1576,;5.253,;0%,;0.95ms;
10,;300s,;1684,;5.613,;0%,;2.022ms;
11,;300s,;1745,;5.817,;0%,;1.601ms;
12,;300s,;1801,;6.003,;0%,;1.423ms;
13,;300s,;1889,;6.297,;0%,;1.422ms;
14,;300s,;1977,;6.59,;0%,;1.535ms;
15,;300s,;2035,;6.783,;0%,;1.852ms;
16,;300s,;2053,;6.843,;0.049%,;1.559ms;
17,;300s,;2092,;6.973,;0%,;1.665ms;
18,;300s,;2146,;7.153,;0%,;1.26ms;
19,;300s,;2238,;7.46,;0%,;5.988ms;
20,;300s,;2245,;7.483,;0%,;1.715ms;
25,;300s,;1750,;5.833,;0%,;1.132ms;
30,;300s,;1803,;6.01,;0%,;0.862ms;
35,;300s,;1822,;6.073,;0%,;2.196ms;
40,;300s,;1879,;6.263,;0.106%,;1.609ms;
45,;300s,;1894,;6.313,;0%,;1.107ms;
50,;300s,;1905,;6.35,;0%,;1.209ms;
55,;300s,;1982,;6.607,;0%,;1.212ms;
60,;300s,;2041,;6.803,;0%,;1.26ms;

;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;25;30;35;40;45;50;55;60;
50.0%;5.879ms.;5.183ms.;4.862ms.;4.288ms.;4.419ms.;5.495ms.;4.317ms.;19.185ms.;22.227ms.;16.865ms.;28.137ms.;26.674ms.;34.865ms.;46.151ms.;79.855ms.;63.171ms.;74.34ms.;74.982ms.;91.028ms.;85.407ms.;119.001ms.;132.438ms.;178.356ms.;179.203ms.;211.116ms.;215.09ms.;190.765ms.;211.945ms.;
90.0%;8.723ms.;7.738ms.;8.236ms.;7.44ms.;8.411ms.;55.343ms.;13.916ms.;79.183ms.;83.871ms.;81.528ms.;94.497ms.;91.969ms.;95.667ms.;96.881ms.;115.746ms.;98.962ms.;116.003ms.;116.575ms.;160.222ms.;125.621ms.;206.766ms.;243.707ms.;287.177ms.;313.041ms.;320.254ms.;367.637ms.;293.197ms.;326.836ms.;
95.0%;9.907ms.;9.211ms.;12.339ms.;13.102ms.;13.032ms.;62.508ms.;44.926ms.;86.624ms.;91.492ms.;90.895ms.;101.466ms.;101.226ms.;107.395ms.;103.197ms.;159.69ms.;111.163ms.;168.991ms.;155.372ms.;179.537ms.;171.07ms.;226.403ms.;285.968ms.;308.351ms.;348.919ms.;382.09ms.;426.511ms.;332.568ms.;375.742ms.;
99.0%;20.736ms.;41.27ms.;53.604ms.;53.407ms.;50.555ms.;76.626ms.;67.009ms.;123.08ms.;117.994ms.;152.942ms.;190.935ms.;176.442ms.;180.909ms.;203.394ms.;279.602ms.;195.36ms.;202.358ms.;303.156ms.;341.314ms.;304.091ms.;310.527ms.;600.775ms.;807.421ms.;1954.33ms.;3117.668ms.;3634.103ms.;2624.056ms.;4955.639ms.;
99.9%;23.003ms.;48.563ms.;65.207ms.;71.562ms.;63.834ms.;203.917ms.;206.604ms.;428.412ms.;424.294ms.;325.219ms.;525.074ms.;386.088ms.;557.731ms.;602.979ms.;694.007ms.;507.834ms.;1082.18ms.;883.207ms.;1014.78ms.;1279.283ms.;1759.873ms.;3382.409ms.;3976.326ms.;4753.152ms.;4881.353ms.;6207.238ms.;6752.14ms.;6798.296ms.;
99.99%;23.003ms.;48.563ms.;65.207ms.;72.408ms.;64.027ms.;209.934ms.;259.205ms.;480.02ms.;493.451ms.;369.153ms.;695.691ms.;391.844ms.;891.839ms.;787.044ms.;837.523ms.;810.495ms.;1210.825ms.;928.813ms.;1067.864ms.;1470.837ms.;1890.261ms.;3583.997ms.;4211.118ms.;5047.75ms.;5600.901ms.;6464.976ms.;6764.511ms.;6908.322ms.;
